fid,geometry,crs,temporal_extent,id,backend_name,status,start_time,running_start_time,cpu,memory,duration,costs
56.0,"POLYGON ((3.0736580363029447 51.02361296665423, 3.074948879436799 51.023921228749956, 3.07546522003671 51.023042784230874, 3.0750512517057507 51.02292936434487, 3.0746122570028573 51.02280344106267, 3.0745937292797514 51.02279298843551, 3.074593589256795 51.02279289699304, 3.0745652917106887 51.022785213939116, 3.0745481701852957 51.02278062051298, 3.074300866559494 51.0227438292467, 3.0742276810845297 51.02289037749102, 3.0741965256471686 51.02297580343957, 3.0741677758086237 51.02301028027609, 3.073983966878794 51.02301769974764, 3.0736580363029447 51.02361296665423))",EPSG:4326,"['2020-01-01', '2020-04-01']",j-2501280848024bb9b1b2eb60a2bb91c2,cdse,finished,2025-01-28T08:48:03Z,2025-01-28T08:49:38Z,465.250925322 cpu-seconds,3287772.65625 mb-seconds,300 seconds,5
72.0,"POLYGON ((3.1692840560712683 51.1631717958498, 3.169878734792342 51.16381610427472, 3.169946295716436 51.163885561415256, 3.170903272533736 51.16322076622778, 3.1717601875210955 51.16163916318238, 3.171582849872844 51.16154090623573, 3.170843044816113 51.162034676404545, 3.1706179243272192 51.16217173490296, 3.1701344812110506 51.1624859677089, 3.1696622708998667 51.162780085611594, 3.1692011211130477 51.16306082931366, 3.1692840560712683 51.1631717958498), (3.1711154796232472 51.16248342022343, 3.171101148523777 51.162423403171864, 3.1711574314937603 51.162336053875336, 3.171211767260884 51.1623246482605, 3.1712933189726824 51.162361433869876, 3.171288997068745 51.1624073277214, 3.171259078343992 51.16245898527217, 3.171185015457561 51.162498149094866, 3.1711154796232472 51.16248342022343))",EPSG:4326,"['2020-01-01', '2020-04-01']",j-25012808482147a794d2f11d9c7f935f,cdse,finished,2025-01-28T08:48:22Z,2025-01-28T08:49:39Z,416.64832981300003 cpu-seconds,2146034.2871093745 mb-seconds,195 seconds,4
87.0,"POLYGON ((3.1992275225891524 51.310689280399586, 3.1991398093443086 51.310749541308624, 3.19919711632555 51.31076350063431, 3.199238785818394 51.310783328390535, 3.19929477085766 51.310809949358884, 3.1993484967428185 51.31084086281478, 3.199418343660061 51.310880924453166, 3.1994245400491605 51.31088548016674, 3.1995025279598246 51.310944049866464, 3.2012074346988917 51.30954335287853, 3.2011855915496525 51.30950502361848, 3.200951030922047 51.30947898144791, 3.2007637165848535 51.309381940439316, 3.200565881111285 51.30933270773919, 3.199868002902482 51.30978912978104, 3.2002839970289974 51.310026590330466, 3.200002254394166 51.31021168634348, 3.199576076136231 51.30997996733468, 3.199294788223422 51.310163987478106, 3.1988306519229797 51.31047843313821, 3.1992275225891524 51.310689280399586), (3.2005117250830732 51.30943330221221, 3.2005593509728563 51.30939862393146, 3.2006022291422176 51.309421699241426, 3.200577975901993 51.30943943856614, 3.200554744393465 51.309456468821814, 3.2005117250830732 51.30943330221221), (3.2005784116070988 51.30937633884657, 3.20060235323875 51.309359585259934, 3.200635304762917 51.309378158031315, 3.2006545393858294 51.30938895481578, 3.200636000035314 51.30940189630712, 3.20062548901797 51.30940925373567, 3.200592255210565 51.309390498396446, 3.200573302866462 51.30937988416729, 3.2005784116070988 51.30937633884657))",EPSG:4326,"['2020-01-01', '2020-04-01']",j-2501280852414cc6adce798f52cb41a0,cdse,finished,2025-01-28T08:52:41Z,2025-01-28T08:56:17Z,381.69207756700007 cpu-seconds,3157369.783342634 mb-seconds,489 seconds,5
110.0,"POLYGON ((3.0906193540439926 51.23622148287391, 3.090856164950587 51.23633281541259, 3.0910023124706303 51.23617302916058, 3.090850616900992 51.23610154136566, 3.0908367622413264 51.23609500908269, 3.090775261724341 51.23606611735096, 3.0907690440383404 51.2360630836109, 3.0906193540439926 51.23622148287391))",EPSG:4326,"['2020-01-01', '2020-04-01']",j-2501280855004071950530d10e1b5ce4,cdse,finished,2025-01-28T08:55:00Z,2025-01-28T08:56:17Z,490.89288828900004 cpu-seconds,3071405.6796875 mb-seconds,298 seconds,5
193.0,"POLYGON ((3.0908613278548347 51.0762474578183, 3.091812296884214 51.07620777408082, 3.091820924073417 51.07609557994884, 3.091779471268809 51.076092793605014, 3.0908719672872342 51.07614005034433, 3.0908613278548347 51.0762474578183))",EPSG:4326,"['2020-01-01', '2020-04-01']",j-2501280900224325b4e60ea89b9ad9db,cdse,finished,2025-01-28T09:00:21Z,2025-01-28T09:03:41Z,528.368238759 cpu-seconds,4489288.457682292 mb-seconds,469 seconds,5
